filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	calibration_strand_speed_bps_template
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_101_ch_274_strand.fast5	1de7c69b-ce05-48a1-8c33-6dd3897081a8	c658a0f770028f020749390debc1a174a1c83146	274	54.5254	1.20684	844	True	0.20817	844	0.99867	844	484	8.661	-0.6565	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_101_ch_392_strand.fast5	5b61dae8-af87-47d0-be94-461bc41cc977	c658a0f770028f020749390debc1a174a1c83146	392	50.49402	1.59296	1294	True	0.02623	1294	1.56673	1294	738	7.26	-0.8671	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_101_ch_478_strand.fast5	83c2d1e2-36ef-4603-9583-17bfe9663160	c658a0f770028f020749390debc1a174a1c83146	478	85.72261	1.35342	931	True	0.22012	931	1.1333	931	530	7.295	-0.8042	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_102_ch_129_strand.fast5	a95d1818-f905-4cb6-ac1b-ee7d78214df3	c658a0f770028f020749390debc1a174a1c83146	129	94.93011	1.60093	1206	True	0.13264	1206	1.46829	1206	697	7.62	-0.7638	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_103_ch_82_strand.fast5	cef10790-e8d9-4901-9697-78573827c860	c658a0f770028f020749390debc1a174a1c83146	82	94.42048	2.13994	1686	True	0.1333	1686	2.00664	1686	975	7.973	-0.6702	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_107_ch_392_strand.fast5	d65bcd88-dfbb-4f76-b6c5-4d2b3edeb7a4	c658a0f770028f020749390debc1a174a1c83146	392	53.26693	1.92214	1543	True	0.07968	1543	1.84246	1543	829	8.323	-0.6816	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_109_ch_322_strand.fast5	12d34356-c453-4a00-b302-f0afcc9a2e01	c658a0f770028f020749390debc1a174a1c83146	322	92.26278	1.25863	1017	True	0.0508	1017	1.20784	1017	614	7.46	-0.8183	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_117_strand.fast5	3af3b986-ca38-448f-8b26-31bb8618e371	c658a0f770028f020749390debc1a174a1c83146	117	14.42729	1.52739	1199	True	0.06341	1199	1.46398	1199	647	8.033	-0.722	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_100_strand.fast5	41ab190e-4a14-4a56-bcff-756e4f07ac51	c658a0f770028f020749390debc1a174a1c83146	100	21.72875	1.67596	1165	True	0.24884	1165	1.42712	1165	574	8.774	-0.5962	filtered_out	-1	-1	0
LabCienciasSalu_20180109_FAH35475_MN18412_sequencing_run_ig_repertoires_1d2_90169_read_10_ch_131_strand.fast5	bdb7ca05-022f-40fa-a6da-678fe6e77576	c658a0f770028f020749390debc1a174a1c83146	131	19.9912	1.60126	773	True	0.67032	773	0.93094	773	416	7.194	-0.9123	filtered_out	-1	-1	0
