IGHD,IGHV,proportion
IGHD1,IGHV1,0.00469924812030075
IGHD2,IGHV1,0.0103383458646617
IGHD3,IGHV1,0.00845864661654135
IGHD4,IGHV1,0.0037593984962406
IGHD5,IGHV1,0.00140977443609023
IGHD6,IGHV1,0.00469924812030075
IGHD1,IGHV2,0
IGHD2,IGHV2,0.00140977443609023
IGHD3,IGHV2,0.00093984962406015
IGHD4,IGHV2,0
IGHD5,IGHV2,0.00140977443609023
IGHD6,IGHV2,0.000469924812030075
IGHD1,IGHV3,0.0131578947368421
IGHD2,IGHV3,0.037593984962406
IGHD3,IGHV3,0.0512218045112782
IGHD4,IGHV3,0.0131578947368421
IGHD5,IGHV3,0.0192669172932331
IGHD6,IGHV3,0.0192669172932331
IGHD1,IGHV4,0.00281954887218045
IGHD2,IGHV4,0.00798872180451128
IGHD3,IGHV4,0.0225563909774436
IGHD4,IGHV4,0.0018796992481203
IGHD5,IGHV4,0.00516917293233083
IGHD6,IGHV4,0.00892857142857143
IGHD1,IGHV5,0.00093984962406015
IGHD2,IGHV5,0.00234962406015038
IGHD3,IGHV5,0.000469924812030075
IGHD4,IGHV5,0.000469924812030075
IGHD5,IGHV5,0
IGHD6,IGHV5,0
IGHD1,IGHV7,0
IGHD2,IGHV7,0.00093984962406015
IGHD3,IGHV7,0.0018796992481203
IGHD4,IGHV7,0.0018796992481203
IGHD5,IGHV7,0
IGHD6,IGHV7,0.000469924812030075
