IGHD,IGHV,proportion
IGHD1,IGHV1,0.00382222222222222
IGHD2,IGHV1,0.00586666666666667
IGHD3,IGHV1,0.0100444444444444
IGHD4,IGHV1,0.00186666666666667
IGHD5,IGHV1,0.00222222222222222
IGHD6,IGHV1,0.00577777777777778
IGHD7,IGHV1,8.88888888888889e-05
IGHD1,IGHV2,8e-04
IGHD2,IGHV2,0.00195555555555556
IGHD3,IGHV2,0.00311111111111111
IGHD4,IGHV2,0.000711111111111111
IGHD5,IGHV2,0.000622222222222222
IGHD6,IGHV2,0.00195555555555556
IGHD7,IGHV2,0
IGHD1,IGHV3,0.0160888888888889
IGHD2,IGHV3,0.0352888888888889
IGHD3,IGHV3,0.0511111111111111
IGHD4,IGHV3,0.0120888888888889
IGHD5,IGHV3,0.0162666666666667
IGHD6,IGHV3,0.0223111111111111
IGHD7,IGHV3,0.000622222222222222
IGHD1,IGHV4,0.00417777777777778
IGHD2,IGHV4,0.00853333333333333
IGHD3,IGHV4,0.0155555555555556
IGHD4,IGHV4,0.0032
IGHD5,IGHV4,0.00293333333333333
IGHD6,IGHV4,0.00568888888888889
IGHD7,IGHV4,8.88888888888889e-05
IGHD1,IGHV5,0.00186666666666667
IGHD2,IGHV5,0.00382222222222222
IGHD3,IGHV5,0.00515555555555556
IGHD4,IGHV5,8e-04
IGHD5,IGHV5,8e-04
IGHD6,IGHV5,0.00222222222222222
IGHD7,IGHV5,0
IGHD1,IGHV6,0.000266666666666667
IGHD2,IGHV6,0.000355555555555556
IGHD3,IGHV6,0.000622222222222222
IGHD4,IGHV6,8.88888888888889e-05
IGHD5,IGHV6,8.88888888888889e-05
IGHD6,IGHV6,0.000355555555555556
IGHD7,IGHV6,0
IGHD1,IGHV7,0.000266666666666667
IGHD2,IGHV7,8.88888888888889e-05
IGHD3,IGHV7,8.88888888888889e-05
IGHD4,IGHV7,0
IGHD5,IGHV7,0.000177777777777778
IGHD6,IGHV7,0.000177777777777778
IGHD7,IGHV7,0
