IGHD,IGHV,proportion
IGHD1,IGHV1,0.00401132609721567
IGHD2,IGHV1,0.00943841434638981
IGHD3,IGHV1,0.0147868491426774
IGHD4,IGHV1,0.00353940537989618
IGHD5,IGHV1,0.00424728645587541
IGHD6,IGHV1,0.00723611766556552
IGHD7,IGHV1,0.000235960358659745
IGHD1,IGHV2,0.00133710869907189
IGHD2,IGHV2,0.00267421739814378
IGHD3,IGHV2,0.00574170206072047
IGHD4,IGHV2,0.000865187981752399
IGHD5,IGHV2,0.00141576215195847
IGHD6,IGHV2,0.000707881075979236
IGHD7,IGHV2,0
IGHD1,IGHV3,0.0140003146138115
IGHD2,IGHV3,0.0292590844738084
IGHD3,IGHV3,0.040427874783703
IGHD4,IGHV3,0.00920245398773006
IGHD5,IGHV3,0.0136070473493786
IGHD6,IGHV3,0.0195847097687588
IGHD7,IGHV3,0.000393267264432909
IGHD1,IGHV4,0.00424728645587541
IGHD2,IGHV4,0.0106968695925751
IGHD3,IGHV4,0.0193487494100991
IGHD4,IGHV4,0.00322479156834985
IGHD5,IGHV4,0.00408997955010225
IGHD6,IGHV4,0.00652823658958628
IGHD7,IGHV4,0.000157306905773163
IGHD1,IGHV5,0.00102249488752556
IGHD2,IGHV5,0.0038540191914425
IGHD3,IGHV5,0.00550574170206072
IGHD4,IGHV5,0.000629227623092654
IGHD5,IGHV5,0.00117980179329873
IGHD6,IGHV5,0.00298883120969011
IGHD7,IGHV5,0
IGHD1,IGHV6,0.000235960358659745
IGHD2,IGHV6,7.86534528865817e-05
IGHD3,IGHV6,0.000314613811546327
IGHD4,IGHV6,0
IGHD5,IGHV6,0.000157306905773163
IGHD6,IGHV6,0.000393267264432909
IGHD7,IGHV6,0
IGHD1,IGHV7,7.86534528865817e-05
IGHD2,IGHV7,0.00102249488752556
IGHD3,IGHV7,0.000786534528865817
IGHD4,IGHV7,0.000314613811546327
IGHD5,IGHV7,0.000314613811546327
IGHD6,IGHV7,0.000157306905773163
IGHD7,IGHV7,0
