IGHD,IGHV,proportion
IGHD1,IGHV1,0.00213414634146341
IGHD2,IGHV1,0.00503048780487805
IGHD3,IGHV1,0.00701219512195122
IGHD4,IGHV1,0.00350609756097561
IGHD5,IGHV1,0.0024390243902439
IGHD6,IGHV1,0.00335365853658537
IGHD7,IGHV1,0.000152439024390244
IGHD1,IGHV2,0.00167682926829268
IGHD2,IGHV2,0.00198170731707317
IGHD3,IGHV2,0.00670731707317073
IGHD4,IGHV2,0.00076219512195122
IGHD5,IGHV2,0.00213414634146341
IGHD6,IGHV2,0.0024390243902439
IGHD7,IGHV2,0
IGHD1,IGHV3,0.0158536585365854
IGHD2,IGHV3,0.0295731707317073
IGHD3,IGHV3,0.0548780487804878
IGHD4,IGHV3,0.0132621951219512
IGHD5,IGHV3,0.011890243902439
IGHD6,IGHV3,0.0248475609756098
IGHD7,IGHV3,0.00152439024390244
IGHD1,IGHV4,0.0038109756097561
IGHD2,IGHV4,0.0108231707317073
IGHD3,IGHV4,0.0182926829268293
IGHD4,IGHV4,0.00426829268292683
IGHD5,IGHV4,0.00442073170731707
IGHD6,IGHV4,0.00823170731707317
IGHD7,IGHV4,0
IGHD1,IGHV5,0.000457317073170732
IGHD2,IGHV5,0.00182926829268293
IGHD3,IGHV5,0.00228658536585366
IGHD4,IGHV5,0.00076219512195122
IGHD5,IGHV5,0.000457317073170732
IGHD6,IGHV5,0.00106707317073171
IGHD7,IGHV5,0
IGHD1,IGHV6,0
IGHD2,IGHV6,0.000152439024390244
IGHD3,IGHV6,0.000152439024390244
IGHD4,IGHV6,0.000152439024390244
IGHD5,IGHV6,0.000609756097560976
IGHD6,IGHV6,0.000457317073170732
IGHD7,IGHV6,0
IGHD1,IGHV7,0
IGHD2,IGHV7,0.000457317073170732
IGHD3,IGHV7,0.000152439024390244
IGHD4,IGHV7,0
IGHD5,IGHV7,0
IGHD6,IGHV7,0
IGHD7,IGHV7,0
